sample	replicate	condition	treatment	label
SCR1.1	Rep1	Scrambled	Vehicle	Control
SCR1.2	Rep1	Scrambled	Dexamethasone	Control_Dex
SCR2.1	Rep2	Scrambled	Vehicle	Control
SCR2.2	Rep2	Scrambled	Dexamethasone	Control_Dex
SCR3.1	Rep3	Scrambled	Vehicle	Control
SCR3.2	Rep3	Scrambled	Dexamethasone	Control_Dex
SCR4.1	Rep4	Scrambled	Vehicle	Control
SCR4.2	Rep4	Scrambled	Dexamethasone	Control_Dex
SCR5.1	Rep5	Scrambled	Vehicle	Control
SCR5.2	Rep5	Scrambled	Dexamethasone	Control_Dex
SiP1.1	Rep1	siPARP1	    Vehicle	SiPARP
SiP1.2	Rep1	siPARP1	    Dexamethasone	SiPARP_Dex
SiP2.1	Rep2	siPARP1	    Vehicle	SiPARP
SiP2.2	Rep2	siPARP1	    Dexamethasone	SiPARP_Dex
SiP3.1	Rep3	siPARP1	    Dexamethasone	SiPARP
SiP3.2	Rep3	siPARP1	    Vehicle	SiPARP_Dex
SiP4.1	Rep4	siPARP1  	Vehicle	SiPARP
SiP4.2	Rep4	siPARP1	    Dexamethasone	SiPARP_Dex
SiP5.1	Rep5	siPARP1	    Vehicle	SiPARP
SiP5.2	Rep5	siPARP1 	Dexamethasone	SiPARP_Dex
